Cnt      PC           IR           RegW  RDin         MemW  MDin
0084     00000084     2231fffc     1     00000018     0     00000000
0085     00000084     2231fffc     0     00000000     0     00000000
0086     00000088     1611fff8     0     00000000     0     00000000
0087     00000088     1611fff8     0     00000000     0     00000000
0088     00000068     1611fff8     0     00000000     0     00000000
0089     0000006c     8e130200     0     00000000     0     00000000
008a     0000006c     8e130200     0     00000000     0     00000000
008b     0000006c     8e130200     0     00000000     0     00000000
008c     0000006c     8e130200     1     00000006     0     00000000
008d     0000006c     8e130200     0     00000000     0     00000000
008e     00000070     8e340200     0     00000000     0     00000000
008f     00000070     8e340200     0     00000000     0     00000000
0090     00000070     8e340200     0     00000000     0     00000000
0091     00000070     8e340200     1     00000005     0     00000000
0092     00000070     8e340200     0     00000000     0     00000000
0093     00000074     0274402a     0     00000000     0     00000000
0094     00000074     0274402a     0     00000000     0     00000000
0095     00000074     0274402a     1     00000000     0     00000000
0096     00000074     0274402a     0     00000000     0     00000000
0097     00000078     11000002     0     00000000     0     00000000
0098     00000078     11000002     0     00000000     0     00000000
0099     00000080     11000002     0     00000000     0     00000000
009a     00000084     2231fffc     0     00000000     0     00000000
009b     00000084     2231fffc     0     00000000     0     00000000
009c     00000084     2231fffc     1     00000014     0     00000000
009d     00000084     2231fffc     0     00000000     0     00000000
009e     00000088     1611fff8     0     00000000     0     00000000
009f     00000088     1611fff8     0     00000000     0     00000000
00a0     00000068     1611fff8     0     00000000     0     00000000
00a1     0000006c     8e130200     0     00000000     0     00000000
00a2     0000006c     8e130200     0     00000000     0     00000000
00a3     0000006c     8e130200     0     00000000     0     00000000
00a4     0000006c     8e130200     1     00000006     0     00000000
00a5     0000006c     8e130200     0     00000000     0     00000000
00a6     00000070     8e340200     0     00000000     0     00000000
00a7     00000070     8e340200     0     00000000     0     00000000
00a8     00000070     8e340200     0     00000000     0     00000000
00a9     00000070     8e340200     1     00000004     0     00000000
00aa     00000070     8e340200     0     00000000     0     00000000
00ab     00000074     0274402a     0     00000000     0     00000000
00ac     00000074     0274402a     0     00000000     0     00000000
00ad     00000074     0274402a     1     00000000     0     00000000
00ae     00000074     0274402a     0     00000000     0     00000000
00af     00000078     11000002     0     00000000     0     00000000
00b0     00000078     11000002     0     00000000     0     00000000
00b1     00000080     11000002     0     00000000     0     00000000
