Cnt      PC           IR           RegW  RDin         MemW  MDin
0232     0000006c     8e130200     1     00000004     0     00000000
0233     0000006c     8e130200     0     00000000     0     00000000
0234     00000070     8e340200     0     00000000     0     00000000
0235     00000070     8e340200     0     00000000     0     00000000
0236     00000070     8e340200     0     00000000     0     00000000
0237     00000070     8e340200     1     00000002     0     00000000
0238     00000070     8e340200     0     00000000     0     00000000
0239     00000074     0274402a     0     00000000     0     00000000
023a     00000074     0274402a     0     00000000     0     00000000
023b     00000074     0274402a     1     00000000     0     00000000
023c     00000074     0274402a     0     00000000     0     00000000
023d     00000078     11000002     0     00000000     0     00000000
023e     00000078     11000002     0     00000000     0     00000000
023f     00000080     11000002     0     00000000     0     00000000
0240     00000084     2231fffc     0     00000000     0     00000000
0241     00000084     2231fffc     0     00000000     0     00000000
0242     00000084     2231fffc     1     00000008     0     00000000
0243     00000084     2231fffc     0     00000000     0     00000000
0244     00000088     1611fff8     0     00000000     0     00000000
0245     00000088     1611fff8     0     00000000     0     00000000
0246     00000088     1611fff8     0     00000000     0     00000000
0247     0000008c     22100004     0     00000000     0     00000000
0248     0000008c     22100004     0     00000000     0     00000000
0249     0000008c     22100004     1     0000000c     0     00000000
024a     0000008c     22100004     0     00000000     0     00000000
024b     00000090     2011001c     0     00000000     0     00000000
024c     00000090     2011001c     0     00000000     0     00000000
024d     00000090     2011001c     1     0000001c     0     00000000
024e     00000090     2011001c     0     00000000     0     00000000
024f     00000094     1611fff5     0     00000000     0     00000000
0250     00000094     1611fff5     0     00000000     0     00000000
0251     00000068     1611fff5     0     00000000     0     00000000
0252     0000006c     8e130200     0     00000000     0     00000000
0253     0000006c     8e130200     0     00000000     0     00000000
0254     0000006c     8e130200     0     00000000     0     00000000
0255     0000006c     8e130200     1     00000002     0     00000000
0256     0000006c     8e130200     0     00000000     0     00000000
0257     00000070     8e340200     0     00000000     0     00000000
0258     00000070     8e340200     0     00000000     0     00000000
0259     00000070     8e340200     0     00000000     0     00000000
025a     00000070     8e340200     1     ffffffff     0     00000000
025b     00000070     8e340200     0     00000000     0     00000000
025c     00000074     0274402a     0     00000000     0     00000000
025d     00000074     0274402a     0     00000000     0     00000000
025e     00000074     0274402a     1     00000000     0     00000000
025f     00000074     0274402a     0     00000000     0     00000000
0260     00000078     11000002     0     00000000     0     00000000
0261     00000078     11000002     0     00000000     0     00000000
0262     00000080     11000002     0     00000000     0     00000000
0263     00000084     2231fffc     0     00000000     0     00000000
0264     00000084     2231fffc     0     00000000     0     00000000
0265     00000084     2231fffc     1     00000018     0     00000000
0266     00000084     2231fffc     0     00000000     0     00000000
0267     00000088     1611fff8     0     00000000     0     00000000
0268     00000088     1611fff8     0     00000000     0     00000000
0269     00000068     1611fff8     0     00000000     0     00000000
026a     0000006c     8e130200     0     00000000     0     00000000
026b     0000006c     8e130200     0     00000000     0     00000000
026c     0000006c     8e130200     0     00000000     0     00000000
026d     0000006c     8e130200     1     00000002     0     00000000
026e     0000006c     8e130200     0     00000000     0     00000000
026f     00000070     8e340200     0     00000000     0     00000000
0270     00000070     8e340200     0     00000000     0     00000000
0271     00000070     8e340200     0     00000000     0     00000000
0272     00000070     8e340200     1     00000000     0     00000000
0273     00000070     8e340200     0     00000000     0     00000000
0274     00000074     0274402a     0     00000000     0     00000000
0275     00000074     0274402a     0     00000000     0     00000000
0276     00000074     0274402a     1     00000000     0     00000000
0277     00000074     0274402a     0     00000000     0     00000000
0278     00000078     11000002     0     00000000     0     00000000
0279     00000078     11000002     0     00000000     0     00000000
027a     00000080     11000002     0     00000000     0     00000000
027b     00000084     2231fffc     0     00000000     0     00000000
027c     00000084     2231fffc     0     00000000     0     00000000
027d     00000084     2231fffc     1     00000014     0     00000000
027e     00000084     2231fffc     0     00000000     0     00000000
027f     00000088     1611fff8     0     00000000     0     00000000
0280     00000088     1611fff8     0     00000000     0     00000000
0281     00000068     1611fff8     0     00000000     0     00000000
0282     0000006c     8e130200     0     00000000     0     00000000
0283     0000006c     8e130200     0     00000000     0     00000000
0284     0000006c     8e130200     0     00000000     0     00000000
0285     0000006c     8e130200     1     00000002     0     00000000
0286     0000006c     8e130200     0     00000000     0     00000000
0287     00000070     8e340200     0     00000000     0     00000000
0288     00000070     8e340200     0     00000000     0     00000000
0289     00000070     8e340200     0     00000000     0     00000000
028a     00000070     8e340200     1     00000001     0     00000000
028b     00000070     8e340200     0     00000000     0     00000000
028c     00000074     0274402a     0     00000000     0     00000000
028d     00000074     0274402a     0     00000000     0     00000000
028e     00000074     0274402a     1     00000000     0     00000000
028f     00000074     0274402a     0     00000000     0     00000000
0290     00000078     11000002     0     00000000     0     00000000
0291     00000078     11000002     0     00000000     0     00000000
0292     00000080     11000002     0     00000000     0     00000000
0293     00000084     2231fffc     0     00000000     0     00000000
0294     00000084     2231fffc     0     00000000     0     00000000
0295     00000084     2231fffc     1     00000010     0     00000000
0296     00000084     2231fffc     0     00000000     0     00000000
0297     00000088     1611fff8     0     00000000     0     00000000
0298     00000088     1611fff8     0     00000000     0     00000000
0299     00000068     1611fff8     0     00000000     0     00000000
029a     0000006c     8e130200     0     00000000     0     00000000
029b     0000006c     8e130200     0     00000000     0     00000000
029c     0000006c     8e130200     0     00000000     0     00000000
029d     0000006c     8e130200     1     00000002     0     00000000
029e     0000006c     8e130200     0     00000000     0     00000000
029f     00000070     8e340200     0     00000000     0     00000000
02a0     00000070     8e340200     0     00000000     0     00000000
02a1     00000070     8e340200     0     00000000     0     00000000
02a2     00000070     8e340200     1     00000003     0     00000000
02a3     00000070     8e340200     0     00000000     0     00000000
02a4     00000074     0274402a     0     00000000     0     00000000
02a5     00000074     0274402a     0     00000000     0     00000000
02a6     00000074     0274402a     1     00000001     0     00000000
02a7     00000074     0274402a     0     00000000     0     00000000
02a8     00000078     11000002     0     00000000     0     00000000
02a9     00000078     11000002     0     00000000     0     00000000
02aa     00000078     11000002     0     00000000     0     00000000
02ab     0000007c     ae330200     0     00000000     0     00000000
02ac     0000007c     ae330200     0     00000000     0     00000000
02ad     0000007c     ae330200     0     00000000     1     00000002
02ae     0000007c     ae330200     0     00000000     0     00000000
02af     00000080     ae140200     0     00000000     0     00000000
02b0     00000080     ae140200     0     00000000     0     00000000
02b1     00000080     ae140200     0     00000000     1     00000003
02b2     00000080     ae140200     0     00000000     0     00000000
02b3     00000084     2231fffc     0     00000000     0     00000000
02b4     00000084     2231fffc     0     00000000     0     00000000
02b5     00000084     2231fffc     1     0000000c     0     00000000
02b6     00000084     2231fffc     0     00000000     0     00000000
02b7     00000088     1611fff8     0     00000000     0     00000000
02b8     00000088     1611fff8     0     00000000     0     00000000
02b9     00000088     1611fff8     0     00000000     0     00000000
02ba     0000008c     22100004     0     00000000     0     00000000
02bb     0000008c     22100004     0     00000000     0     00000000
02bc     0000008c     22100004     1     00000010     0     00000000
02bd     0000008c     22100004     0     00000000     0     00000000
02be     00000090     2011001c     0     00000000     0     00000000
02bf     00000090     2011001c     0     00000000     0     00000000
02c0     00000090     2011001c     1     0000001c     0     00000000
02c1     00000090     2011001c     0     00000000     0     00000000
02c2     00000094     1611fff5     0     00000000     0     00000000
02c3     00000094     1611fff5     0     00000000     0     00000000
02c4     00000068     1611fff5     0     00000000     0     00000000
02c5     0000006c     8e130200     0     00000000     0     00000000
02c6     0000006c     8e130200     0     00000000     0     00000000
02c7     0000006c     8e130200     0     00000000     0     00000000
02c8     0000006c     8e130200     1     00000002     0     00000000
02c9     0000006c     8e130200     0     00000000     0     00000000
02ca     00000070     8e340200     0     00000000     0     00000000
02cb     00000070     8e340200     0     00000000     0     00000000
02cc     00000070     8e340200     0     00000000     0     00000000
02cd     00000070     8e340200     1     ffffffff     0     00000000
02ce     00000070     8e340200     0     00000000     0     00000000
02cf     00000074     0274402a     0     00000000     0     00000000
02d0     00000074     0274402a     0     00000000     0     00000000
02d1     00000074     0274402a     1     00000000     0     00000000
02d2     00000074     0274402a     0     00000000     0     00000000
02d3     00000078     11000002     0     00000000     0     00000000
02d4     00000078     11000002     0     00000000     0     00000000
02d5     00000080     11000002     0     00000000     0     00000000
02d6     00000084     2231fffc     0     00000000     0     00000000
02d7     00000084     2231fffc     0     00000000     0     00000000
02d8     00000084     2231fffc     1     00000018     0     00000000
02d9     00000084     2231fffc     0     00000000     0     00000000
02da     00000088     1611fff8     0     00000000     0     00000000
02db     00000088     1611fff8     0     00000000     0     00000000
02dc     00000068     1611fff8     0     00000000     0     00000000
02dd     0000006c     8e130200     0     00000000     0     00000000
02de     0000006c     8e130200     0     00000000     0     00000000
02df     0000006c     8e130200     0     00000000     0     00000000
02e0     0000006c     8e130200     1     00000002     0     00000000
02e1     0000006c     8e130200     0     00000000     0     00000000
02e2     00000070     8e340200     0     00000000     0     00000000
02e3     00000070     8e340200     0     00000000     0     00000000
02e4     00000070     8e340200     0     00000000     0     00000000
02e5     00000070     8e340200     1     00000000     0     00000000
02e6     00000070     8e340200     0     00000000     0     00000000
02e7     00000074     0274402a     0     00000000     0     00000000
02e8     00000074     0274402a     0     00000000     0     00000000
02e9     00000074     0274402a     1     00000000     0     00000000
02ea     00000074     0274402a     0     00000000     0     00000000
02eb     00000078     11000002     0     00000000     0     00000000
02ec     00000078     11000002     0     00000000     0     00000000
02ed     00000080     11000002     0     00000000     0     00000000
02ee     00000084     2231fffc     0     00000000     0     00000000
02ef     00000084     2231fffc     0     00000000     0     00000000
02f0     00000084     2231fffc     1     00000014     0     00000000
02f1     00000084     2231fffc     0     00000000     0     00000000
02f2     00000088     1611fff8     0     00000000     0     00000000
02f3     00000088     1611fff8     0     00000000     0     00000000
02f4     00000068     1611fff8     0     00000000     0     00000000
02f5     0000006c     8e130200     0     00000000     0     00000000
02f6     0000006c     8e130200     0     00000000     0     00000000
02f7     0000006c     8e130200     0     00000000     0     00000000
02f8     0000006c     8e130200     1     00000002     0     00000000
02f9     0000006c     8e130200     0     00000000     0     00000000
02fa     00000070     8e340200     0     00000000     0     00000000
02fb     00000070     8e340200     0     00000000     0     00000000
02fc     00000070     8e340200     0     00000000     0     00000000
02fd     00000070     8e340200     1     00000001     0     00000000
02fe     00000070     8e340200     0     00000000     0     00000000
02ff     00000074     0274402a     0     00000000     0     00000000
0300     00000074     0274402a     0     00000000     0     00000000
0301     00000074     0274402a     1     00000000     0     00000000
0302     00000074     0274402a     0     00000000     0     00000000
0303     00000078     11000002     0     00000000     0     00000000
0304     00000078     11000002     0     00000000     0     00000000
0305     00000080     11000002     0     00000000     0     00000000
0306     00000084     2231fffc     0     00000000     0     00000000
0307     00000084     2231fffc     0     00000000     0     00000000
0308     00000084     2231fffc     1     00000010     0     00000000
0309     00000084     2231fffc     0     00000000     0     00000000
030a     00000088     1611fff8     0     00000000     0     00000000
030b     00000088     1611fff8     0     00000000     0     00000000
030c     00000088     1611fff8     0     00000000     0     00000000
030d     0000008c     22100004     0     00000000     0     00000000
030e     0000008c     22100004     0     00000000     0     00000000
030f     0000008c     22100004     1     00000014     0     00000000
0310     0000008c     22100004     0     00000000     0     00000000
0311     00000090     2011001c     0     00000000     0     00000000
0312     00000090     2011001c     0     00000000     0     00000000
0313     00000090     2011001c     1     0000001c     0     00000000
0314     00000090     2011001c     0     00000000     0     00000000
0315     00000094     1611fff5     0     00000000     0     00000000
0316     00000094     1611fff5     0     00000000     0     00000000
0317     00000068     1611fff5     0     00000000     0     00000000
0318     0000006c     8e130200     0     00000000     0     00000000
0319     0000006c     8e130200     0     00000000     0     00000000
031a     0000006c     8e130200     0     00000000     0     00000000
031b     0000006c     8e130200     1     00000001     0     00000000
031c     0000006c     8e130200     0     00000000     0     00000000
031d     00000070     8e340200     0     00000000     0     00000000
031e     00000070     8e340200     0     00000000     0     00000000
031f     00000070     8e340200     0     00000000     0     00000000
0320     00000070     8e340200     1     ffffffff     0     00000000
0321     00000070     8e340200     0     00000000     0     00000000
0322     00000074     0274402a     0     00000000     0     00000000
0323     00000074     0274402a     0     00000000     0     00000000
0324     00000074     0274402a     1     00000000     0     00000000
0325     00000074     0274402a     0     00000000     0     00000000
0326     00000078     11000002     0     00000000     0     00000000
0327     00000078     11000002     0     00000000     0     00000000
0328     00000080     11000002     0     00000000     0     00000000
0329     00000084     2231fffc     0     00000000     0     00000000
032a     00000084     2231fffc     0     00000000     0     00000000
032b     00000084     2231fffc     1     00000018     0     00000000
032c     00000084     2231fffc     0     00000000     0     00000000
032d     00000088     1611fff8     0     00000000     0     00000000
032e     00000088     1611fff8     0     00000000     0     00000000
032f     00000068     1611fff8     0     00000000     0     00000000
0330     0000006c     8e130200     0     00000000     0     00000000
0331     0000006c     8e130200     0     00000000     0     00000000
0332     0000006c     8e130200     0     00000000     0     00000000
0333     0000006c     8e130200     1     00000001     0     00000000
0334     0000006c     8e130200     0     00000000     0     00000000
0335     00000070     8e340200     0     00000000     0     00000000
0336     00000070     8e340200     0     00000000     0     00000000
0337     00000070     8e340200     0     00000000     0     00000000
0338     00000070     8e340200     1     00000000     0     00000000
0339     00000070     8e340200     0     00000000     0     00000000
033a     00000074     0274402a     0     00000000     0     00000000
033b     00000074     0274402a     0     00000000     0     00000000
033c     00000074     0274402a     1     00000000     0     00000000
033d     00000074     0274402a     0     00000000     0     00000000
033e     00000078     11000002     0     00000000     0     00000000
033f     00000078     11000002     0     00000000     0     00000000
0340     00000080     11000002     0     00000000     0     00000000
0341     00000084     2231fffc     0     00000000     0     00000000
0342     00000084     2231fffc     0     00000000     0     00000000
0343     00000084     2231fffc     1     00000014     0     00000000
0344     00000084     2231fffc     0     00000000     0     00000000
0345     00000088     1611fff8     0     00000000     0     00000000
0346     00000088     1611fff8     0     00000000     0     00000000
0347     00000088     1611fff8     0     00000000     0     00000000
0348     0000008c     22100004     0     00000000     0     00000000
0349     0000008c     22100004     0     00000000     0     00000000
034a     0000008c     22100004     1     00000018     0     00000000
034b     0000008c     22100004     0     00000000     0     00000000
034c     00000090     2011001c     0     00000000     0     00000000
034d     00000090     2011001c     0     00000000     0     00000000
034e     00000090     2011001c     1     0000001c     0     00000000
034f     00000090     2011001c     0     00000000     0     00000000
0350     00000094     1611fff5     0     00000000     0     00000000
0351     00000094     1611fff5     0     00000000     0     00000000
0352     00000068     1611fff5     0     00000000     0     00000000
0353     0000006c     8e130200     0     00000000     0     00000000
0354     0000006c     8e130200     0     00000000     0     00000000
0355     0000006c     8e130200     0     00000000     0     00000000
0356     0000006c     8e130200     1     00000000     0     00000000
0357     0000006c     8e130200     0     00000000     0     00000000
0358     00000070     8e340200     0     00000000     0     00000000
0359     00000070     8e340200     0     00000000     0     00000000
035a     00000070     8e340200     0     00000000     0     00000000
035b     00000070     8e340200     1     ffffffff     0     00000000
035c     00000070     8e340200     0     00000000     0     00000000
035d     00000074     0274402a     0     00000000     0     00000000
035e     00000074     0274402a     0     00000000     0     00000000
035f     00000074     0274402a     1     00000000     0     00000000
0360     00000074     0274402a     0     00000000     0     00000000
0361     00000078     11000002     0     00000000     0     00000000
0362     00000078     11000002     0     00000000     0     00000000
0363     00000080     11000002     0     00000000     0     00000000
0364     00000084     2231fffc     0     00000000     0     00000000
0365     00000084     2231fffc     0     00000000     0     00000000
0366     00000084     2231fffc     1     00000018     0     00000000
0367     00000084     2231fffc     0     00000000     0     00000000
0368     00000088     1611fff8     0     00000000     0     00000000
0369     00000088     1611fff8     0     00000000     0     00000000
036a     00000088     1611fff8     0     00000000     0     00000000
036b     0000008c     22100004     0     00000000     0     00000000
036c     0000008c     22100004     0     00000000     0     00000000
036d     0000008c     22100004     1     0000001c     0     00000000
036e     0000008c     22100004     0     00000000     0     00000000
036f     00000090     2011001c     0     00000000     0     00000000
0370     00000090     2011001c     0     00000000     0     00000000
0371     00000090     2011001c     1     0000001c     0     00000000
0372     00000090     2011001c     0     00000000     0     00000000
0373     00000094     1611fff5     0     00000000     0     00000000
0374     00000094     1611fff5     0     00000000     0     00000000
0375     00000094     1611fff5     0     00000000     0     00000000
0376     00000098     2002000a     0     00000000     0     00000000
0377     00000098     2002000a     0     00000000     0     00000000
0378     00000098     2002000a     1     0000000a     0     00000000
0379     00000098     2002000a     0     00000000     0     00000000
037a     0000009c     0000000c     0     00000000     0     00000000
037b     0000009c     0000000c     0     00000000     0     00000000
